,Sign,GlossVar,Frequence,Path,SentencePath
0,abrir,ABRIR-CORTINA,2,ABRIR-CORTINA_ORACION_1\ABRIR-CORTINA_1_7.mp4,ABRIR-CORTINA_ORACION_1.mp4
1,no,NO,11,ABRIR-CORTINA_ORACION_1\NO_1_5.mp4,ABRIR-CORTINA_ORACION_1.mp4
2,oscuro,OSCURO,1,ABRIR-CORTINA_ORACION_1\OSCURO_1_3.mp4,ABRIR-CORTINA_ORACION_1.mp4
3,persiana,PERSIANA,3,ABRIR-CORTINA_ORACION_1\PERSIANA_1_6.mp4,ABRIR-CORTINA_ORACION_1.mp4
4,ver,VER,54,ABRIR-CORTINA_ORACION_1\VER_1_2.mp4,ABRIR-CORTINA_ORACION_1.mp4
5,yo,YO,146,ABRIR-CORTINA_ORACION_1\YO_1_1.mp4,ABRIR-CORTINA_ORACION_1.mp4
6,jalar,JALAR-CORDON,1,ABRIR-CORTINA_ORACION_2\JALAR-CORDON_1_2.mp4,ABRIR-CORTINA_ORACION_2.mp4
7,luz,LUZ,1,ABRIR-CORTINA_ORACION_2\LUZ_1_4.mp4,ABRIR-CORTINA_ORACION_2.mp4
8,abrir,ABRIR,2,ABRIR_ORACION_1\ABRIR_1_3.mp4,ABRIR_ORACION_1.mp4
9,caminar,CAMINAR-PERSONA,27,ABRIR_ORACION_1\CAMINAR-PERSONA_1_2.mp4,ABRIR_ORACION_1.mp4
10,refrescar,REFRESCAR,1,ABRIR_ORACION_1\REFRESCAR_1_4.mp4,ABRIR_ORACION_1.mp4
11,abrir,ABRIR-VERTICAL,1,ABRIR_ORACION_2\ABRIR-VERTICAL_1_2.mp4,ABRIR_ORACION_2.mp4
12,al,AL-FRENTE,1,ABRIR_ORACION_2\AL-FRENTE_1_4.mp4,ABRIR_ORACION_2.mp4
13,asomar,ASOMAR,1,ABRIR_ORACION_2\ASOMAR_1_5.mp4,ABRIR_ORACION_2.mp4
14,bien,BIEN,11,ABRIR_ORACION_3\BIEN_1_5.mp4,ABRIR_ORACION_3.mp4
15,calor,CALOR,4,ABRIR_ORACION_3\CALOR_1_2.mp4,ABRIR_ORACION_3.mp4
16,dormir,DORMIR,8,ABRIR_ORACION_3\DORMIR_1_1.mp4,ABRIR_ORACION_3.mp4
17,desenrroscar,DESENRROSCAR-TAPA,1,ABRIR_ORACION_4\DESENRROSCAR-TAPA_1_4.mp4,ABRIR_ORACION_4.mp4
18,echar,ECHAR-CUCHARADA,2,ABRIR_ORACION_4\ECHAR-CUCHARADA_1_6.mp4,ABRIR_ORACION_4.mp4
19,enrroscar,ENRROSCAR-TAPA,1,ABRIR_ORACION_4\ENRROSCAR-TAPA_1_8.mp4,ABRIR_ORACION_4.mp4
20,ix,IX,120,ABRIR_ORACION_4\IX_1_3.mp4,ABRIR_ORACION_4.mp4
21,levantar,LEVANTAR-TAPA,1,ABRIR_ORACION_4\LEVANTAR-TAPA_1_5.mp4,ABRIR_ORACION_4.mp4
22,mezclar,MEZCLAR,2,ABRIR_ORACION_4\MEZCLAR_1_2.mp4,ABRIR_ORACION_4.mp4
